hyper,hypo,standard_norm,no_ngram_norm,ng_norm,count
month,January,-22.559890151023865,12.179197371006012,29.06685471534729,76.9945483694108
month,February,-34.532856941223145,13.354693353176117,30.93428909778595,57.40424788649045
month,March,21.790121495723724,8.177371323108673,21.79012894630432,91.52572109809037
month,April,25.993046164512634,10.371281206607819,25.993049144744873,86.94309311928393
month,May,247.45163917541504,6.607942283153534,15.817219018936157,219.5778495723792
month,June,86.63637638092041,9.665937721729279,24.424254894256592,80.36360749962446
month,July,93.21904182434082,12.777550518512726,28.812697529792786,71.60087186170838
month,August,-4.813988506793976,11.601139605045319,26.91468596458435,56.87035804514697
month,September,-44.985681772232056,12.394984811544418,28.366747498512268,61.35298972257148
month,October,-21.94921225309372,12.07357794046402,30.084648728370667,64.15855587788923
month,November,-35.144105553627014,13.222669064998627,29.71179187297821,55.42349838944575
month,December,-34.639644622802734,12.90571391582489,30.72071075439453,59.169546969422356
color,red,214.2678737640381,-2.4428382515907288,4.7559455037117,-14.315463389067611
color,blue,44.778406620025635,-5.8992899954319,-3.481072559952736,-40.68353126458778
color,green,-16.087377071380615,-4.437129572033882,-16.08739197254181,-30.0291182166378
color,white,-3.950345516204834,-4.10078652203083,-3.95035520195961,24.457166798508602
color,orange,-19.920025765895844,1.365382969379425,6.773289293050766,-80.10268794209723
color,purple,-25.538989901542664,-3.007206879556179,-0.7186640985310078,-87.57766504883688
color,black,-5.428289994597435,-3.7266232073307037,-5.428304523229599,26.119314060631037
color,pink,61.684030294418335,1.4097620733082294,7.789343595504761,-74.93923364878756
color,yellow,-25.193437933921814,1.5528187155723572,-0.25792764499783516,-71.49442220962484
color,cyan,87.80776262283325,18.8669815659523,25.205162167549133,-99.41605573320909
color,violet,-28.96551787853241,10.081180185079575,-5.287368223071098,-98.38465018973534
color,grey,39.793407917022705,-0.5296188872307539,-6.80440366268158,-86.86721598188748
animal,dog,252.45609283447266,-6.00099042057991,-11.885977536439896,76.01154405541592
animal,cat,234.5402717590332,-6.204253435134888,-16.36492908000946,-22.22957017107758
animal,bird,85.8738124370575,2.5565512478351593,-7.063093036413193,-45.238106374812375
animal,reptile,-22.501929104328156,15.213459730148315,-3.1274113804101944,-97.98246182931965
animal,fish,75.87220072746277,2.111702412366867,-12.063899636268616,22.17952626178609
animal,cow,267.8441286087036,7.508818805217743,-8.038965612649918,-82.95581896832819
animal,insect,-7.264796644449234,7.887063175439835,-7.264796644449234,-90.30017980186985
animal,fly,259.20159816741943,-6.115291640162468,-10.199600458145142,-24.141623498716452
animal,mammal,3.3455990254879,16.28085821866989,3.3455990254879,-96.89425529023083
tool,hammer,-60.361552238464355,5.061610043048859,-20.72310447692871,-88.92333982707078
tool,screwdriver,-75.43929815292358,33.55134129524231,10.523150116205215,-97.63942241985984
tool,drill,-43.53181719779968,11.923173069953918,-15.297724306583405,-85.13255472071457
tool,handsaw,-49.96241331100464,76.5534520149231,25.093963742256165,-99.87315610920845
tool,knife,-37.43588626384735,20.666681230068207,-6.153828650712967,-75.10034918456768
tool,wrench,-51.09402537345886,26.54104232788086,-2.1880509331822395,-96.23042980088515
tool,pliers,-45.3825443983078,50.95037817955017,9.23491045832634,-98.40439012603827
fruit,banana,-22.01044261455536,-1.040846575051546,3.986077383160591,-81.24529080040269
